"lon","lat"
-76.2116659,43.061543
-76.2489316,43.0942366
-76.2086391,43.0615906
-76.0418537,43.1966974
-76.21425,42.931144
NA,NA
-76.147195,43.009574
-76.1544679,43.0121848
-76.1601079,43.022868
-76.1641457,43.0411179
-76.058454,43.060192
-76.059077,43.077989
-76.0697144,43.0597269
-76.0956278,43.09983
-76.1363546,43.034718
-76.1492326,43.0402266
-76.198898,43.024986
-76.0830577,43.1003892
-76.1398344,43.0418643
NA,NA
NA,NA
-76.0415569,43.0273993
-76.1483066,43.0457477
-76.180247,43.05175
-76.1528066,43.0559367
-76.1468224,43.0472275
-76.1643832,43.0576264
-76.1469716,43.0467622
-76.1469716,43.0467622
-76.1396909,43.0449343
-76.1500292,43.0399041
-76.1968407,43.0486906
-76.1621661,43.0462713
-76.0730345,43.0448121
-76.2209347,43.0446228
-76.142562,43.0380982
-76.0758169,43.0385831
-76.1584764,43.0348305
-76.1323479,43.054702
-76.1190523,43.0458944
-76.1481883,43.0506056
-76.1490987,43.0316137
-76.146386,43.0278688
-76.1369752,43.0401763
-76.1361951,43.0410795
NA,NA
-76.1387337,43.0362273
-76.1435565,43.0480626
-76.1347683,43.040941
-76.139188,43.0387259
-76.129134,43.0495375
-76.0480487,43.0291492
-76.2174025,43.0266401
-76.1335569,43.0449501
-76.007446,43.030494
-76.2024866,43.0340723
NA,NA
-76.1816745,43.0340868
-76.0734426,43.0235745
-76.128381,43.047318
-76.148209,43.043527
-76.1433394,43.0470987
-76.1176849,43.0451725
-76.1346289,43.0519014
-76.1816745,43.0340868
-76.2483738,43.0454377
-76.1152384,43.1692417
-76.2108753,43.186931
-76.049373,43.0466242
-76.480723,43.0681317
-75.987902,42.834558
-76.2118239,43.060636
-76.1069585,42.8962971
-76.3027747,43.168271
-76.0127964,43.0319834
-76.3386529,42.981737
-76.1957894,43.0156555
-76.200121,42.865699
-75.9492,42.922987
-76.1838622,43.0872266
-76.428925,42.946871
-76.3386497,42.8676307
-76.11721,42.792514
-76.3230857,43.1374109
-76.1176849,43.0451725
-76.1314291,43.0613339
-76.1214405,43.058031
-76.207053,43.057596
-76.210711,43.1846419
-76.11253,42.79573
-76.105731,42.798654
-76.1170966,42.8019447
NA,NA
-76.22141,43.14102
-76.1526728,43.0477031
-76.1543204,43.0501042
-76.1560138,43.0528129
-76.1516167,43.0461194
-76.149905,43.115583
-76.1543204,43.0501042
-76.1497882,43.044032
-76.1543204,43.0501042
-76.1447569,43.0537849
-76.1196263,43.0412552
-76.1347881,43.0424512
-76.1346927,43.0473486
-76.3294233,43.159216
-76.2082868,43.104011
-76.1398344,43.0418643
-76.1477938,43.0117737
-76.163461,43.007753
-76.0907219,43.0703885
-76.083681,43.105016
-76.3335086,43.1588349
-76.0706067,43.0645302
-76.452311,43.034572
-75.9860322,42.835067
-76.005303,43.0302529
-76.472166,43.065681
-76.2092033,43.1041891
-75.9849471,43.0034937
-76.3414799,42.9827001
-76.0004277,43.0769513
-76.12851,43.1323088
-76.431656,42.948233
-76.212519,43.060885
-76.11721,42.792514
-76.255985,43.105256
-76.1310654,43.0490355
-76.172459,43.054443
-76.150268,43.049001
-76.328361,43.082987
-76.1333021,43.0584083
-76.270952,43.046499
-76.119199,43.0365175
-76.266851,43.061138
-76.22386,43.041058
-76.2486757,43.1000892
-76.1265306,43.0029759
-76.1474244,43.0481221
-76.4309771,42.9469106
-76.1368955,43.0725626
-76.1386279,43.0575228
-76.1498357,43.0476027
-76.1387868,43.0607329
